CATEGORY NAME,RESTUARANT URL,DELIVERY RADIUS
BACK TO SCHOOL,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
BATTERIES,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
CIGARETTES & TOBACCO,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
VAPING,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
"BEER, LAGER & ALES",https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
ALCOHOL FREE,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
COCKTAILS,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
SPIRITS,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
RED WINE,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
WHITE & ROSE WINE,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
SOFT DRINKS,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
SANDWICHES & SNACKS,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
PIES & QUICHE,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
SALADS & DIPS,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
FRESH PIZZA,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
FRESH READY MEALS,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
FRESH MEAT & FISH,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
VEGETABLES & POTATOES,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
FRUIT,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
SALAD,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
MILK & CREAM,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
CHEESE,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
YOGURTS & DESSERTS,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
BUTTER & SPREADS,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
FRESH JUICE,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
COOKED MEAT,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
BREAD & MORNING GOODS,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
CAKE,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
BISCUITS,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
CHOCOLATE & SWEETS,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
"CRISPS, SNACKS & NUTS",https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
CEREAL & BREAKFAST BARS,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
TEA & COFFEE,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
"TINS, JARS & PACKETS",https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
WORLD FOODS,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
CUPBOARD STAPLES,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
HOME BAKING & DESSERTS,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
EGGS,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
ICE CREAM & DESSERTS,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
FROZEN FOOD,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
FRESH CUT FLOWERS,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
TOILET ROLL & KITCHEN ROLL,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
"LAUNDRY, CLEANING & HOUSEHOLD",https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
PET FOOD,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
BABY,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
TOILETRIES,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
HEALTH CARE,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,0.20
Pay In-Store Prices,https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
University Ready,https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Fresh & Frozen Food £2 & Under,https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Food Cupboard £2 & Under,https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Household £2 & Under,https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Easy Meals Under £4,https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Wine,https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Spirits,https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
"Beer, Lager & Cider",https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Ready to Drink & Cocktails,https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
Ice Cream & Ice Lollies,https://deliveroo.co.uk/menu/Kettering/kettering/4436-asda-kettering?day=today&geohash=gcr6pmnt52wh&time=ASAP,N/A
