FOOD ITEM,ITEM PRICE
Walkers Quavers Cheese Multipack Snacks 6x16g,£1.85
Walkers Wotsits Really Cheesy Multipack Snacks 6x16.5g,£1.85
Robinsons Fruit Shoot Apple & Blackcurrant 4 X 200ml,£2.20
Robinsons Fruit Shoot Orange 4 X 200ml,£2.20
Capri-Sun Nothing Artificial No Added Sugar Orange 4 X 200ml,£2.20
Capri-Sun Orange 4 X 200ml,£2.20
Co Op Pure Apple Juice 3 X 200ml,£1.45
Co Op Pure Orange Juice 3 X 200ml,£1.45
Co-op Natural Mineral Water Still 6 X 500ml,£1.90
Co-op Bakery White Toastie 800g,£1.30
Co-op 6 White Finger Rolls,£1.30
Co-op 6 White Rolls,£1.15
Babybel Mini Original Cheese 6 X 20g (120g),£2.40
Co-op British Mature Cheddar 240g,£3.00
Philadelphia Original Soft Cheese 165g,£1.60
Co-op Deli Filler Cheese & Onion 200g,£1.70
Co-op Deli Filler Egg Mayonnaise 200g,£1.70
Actimel Strawberry 8 X 100g (800g),£3.80
Petits Filous Strawberry Flavour Drinking Yogurt 4 X 100g,£2.10
"Wildlife Choobs Strawberry, Raspberry And Apricot Flavour Yogurt Tubes 6x37g",£1.05
"Yoplait Frubes Strawberry, Red Berry And Peach Flavour Yogurt Tubes 9 X 37g (333g)",£2.10
Co-op 6 Conference Pears,£2.10
Co-op Fairtrade Small Bananas,£1.20
Co-op Hand Picked Clementine Nules 500g,£1.70
Co-op Nectarines,£2.10
Co-op Royal Gala Apples,£1.80
Co-op Seedless Green Grapes 450g,£2.40
Co-op Seedless Red Grapes 450g,£2.40
Co-op Cucumber,£0.85
