RESTAURANT POSTCODE,RESTAURANT NAME,RESTUARANT LINK,IS CLOSED,CATEGORY NAME,DELIVERY RADIUS,CATEGORY LINK,FOOD ITEM,FOOD ITEM PRICE
NN16 9QY,Central Co-op,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,False,BACK TO SCHOOL,0.20,/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road/?day=today&geohash=gcr6pmnt52wh&time=ASAP&category_id=204450213&source=top_level&linked_request_uuid=b8daab9d-c1c1-4e27-9346-752e48711e24,[],[]
NN16 9QY,Central Co-op,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,False,BATTERIES,0.20,/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road/?day=today&geohash=gcr6pmnt52wh&time=ASAP&category_id=155090846&source=top_level&linked_request_uuid=b8daab9d-c1c1-4e27-9346-752e48711e24,[],[]
NN16 9QY,Central Co-op,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,False,CIGARETTES & TOBACCO,0.20,/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road/?day=today&geohash=gcr6pmnt52wh&time=ASAP&category_id=155090856&source=top_level&linked_request_uuid=b8daab9d-c1c1-4e27-9346-752e48711e24,[],[]
NN16 9QY,Central Co-op,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,False,VAPING,0.20,/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road/?day=today&geohash=gcr6pmnt52wh&time=ASAP&category_id=155090828&source=top_level&linked_request_uuid=b8daab9d-c1c1-4e27-9346-752e48711e24,[],[]
NN16 9QY,Central Co-op,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,False,"BEER, LAGER & ALES",0.20,/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road/?day=today&geohash=gcr6pmnt52wh&time=ASAP&category_id=155090838&source=top_level&linked_request_uuid=b8daab9d-c1c1-4e27-9346-752e48711e24,[],[]
NN16 9QY,Central Co-op,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,False,ALCOHOL FREE,0.20,/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road/?day=today&geohash=gcr6pmnt52wh&time=ASAP&category_id=155090861&source=top_level&linked_request_uuid=b8daab9d-c1c1-4e27-9346-752e48711e24,[],[]
NN16 9QY,Central Co-op,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,False,COCKTAILS,0.20,/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road/?day=today&geohash=gcr6pmnt52wh&time=ASAP&category_id=155090857&source=top_level&linked_request_uuid=b8daab9d-c1c1-4e27-9346-752e48711e24,[],[]
NN16 9QY,Central Co-op,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,False,SPIRITS,0.20,/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road/?day=today&geohash=gcr6pmnt52wh&time=ASAP&category_id=155090820&source=top_level&linked_request_uuid=b8daab9d-c1c1-4e27-9346-752e48711e24,[],[]
NN16 9QY,Central Co-op,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,False,RED WINE,0.20,/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road/?day=today&geohash=gcr6pmnt52wh&time=ASAP&category_id=155090839&source=top_level&linked_request_uuid=b8daab9d-c1c1-4e27-9346-752e48711e24,[],[]
NN16 9QY,Central Co-op,https://deliveroo.co.uk/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road?day=today&geohash=gcr6pmnt52wh&time=ASAP,False,WHITE & ROSE WINE,0.20,/menu/Kettering/brambleside/central-england-co-op-kettering-hallwood-road/?day=today&geohash=gcr6pmnt52wh&time=ASAP&category_id=155090821&source=top_level&linked_request_uuid=b8daab9d-c1c1-4e27-9346-752e48711e24,[],[]
